     psi           rho       ne           Te              Ti 
  0.0000e+00   0.0000e+00   4.6000e+19   1.4836e+00   1.1100e+00
  1.8331e-03   2.0000e-02   4.5889e+19   1.4767e+00   1.1000e+00
  3.5882e-03   4.0000e-02   4.5778e+19   1.4715e+00   1.0900e+00
  5.9504e-03   6.0000e-02   4.5666e+19   1.4658e+00   1.0791e+00
  9.6058e-03   8.0000e-02   4.5555e+19   1.4568e+00   1.0508e+00
  1.5338e-02   1.0000e-01   4.5444e+19   1.4414e+00   1.0230e+00
  2.2159e-02   1.2000e-01   4.5333e+19   1.4164e+00   9.9612e-01
  3.0032e-02   1.4000e-01   4.5221e+19   1.3845e+00   9.6989e-01
  3.9139e-02   1.6000e-01   4.5110e+19   1.3483e+00   9.4406e-01
  4.9387e-02   1.8000e-01   4.4999e+19   1.3095e+00   9.1846e-01
  6.0769e-02   2.0000e-01   4.4888e+19   1.2692e+00   8.9301e-01
  7.3266e-02   2.2000e-01   4.4777e+19   1.2280e+00   8.6765e-01
  8.6848e-02   2.4000e-01   4.4665e+19   1.1861e+00   8.4234e-01
  1.0149e-01   2.6000e-01   4.4554e+19   1.1440e+00   8.1706e-01
  1.1715e-01   2.8000e-01   4.4443e+19   1.1016e+00   7.9181e-01
  1.3381e-01   3.0000e-01   4.4332e+19   1.0591e+00   7.6658e-01
  1.5143e-01   3.2000e-01   4.4221e+19   1.0166e+00   7.4136e-01
  1.6996e-01   3.4000e-01   4.4109e+19   9.7398e-01   7.1616e-01
  1.8938e-01   3.6000e-01   4.3998e+19   9.3143e-01   6.9100e-01
  2.0965e-01   3.8000e-01   4.3887e+19   8.8894e-01   6.6588e-01
  2.3071e-01   4.0000e-01   4.3776e+19   8.4657e-01   6.4083e-01
  2.5254e-01   4.2000e-01   4.3606e+19   8.0439e-01   6.1591e-01
  2.7508e-01   4.4000e-01   4.3370e+19   7.6255e-01   5.9119e-01
  2.9829e-01   4.6000e-01   4.3059e+19   7.2128e-01   5.6681e-01
  3.2213e-01   4.8000e-01   4.2663e+19   6.8094e-01   5.4297e-01
  3.4655e-01   5.0000e-01   4.2171e+19   6.4213e-01   5.2004e-01
  3.7151e-01   5.2000e-01   4.1576e+19   6.0586e-01   4.9861e-01
  3.9695e-01   5.4000e-01   4.0888e+19   5.7377e-01   4.7964e-01
  4.2284e-01   5.6000e-01   4.0123e+19   5.4840e-01   4.6463e-01
  4.4913e-01   5.8000e-01   3.9295e+19   5.2974e-01   4.5358e-01
  4.7579e-01   6.0000e-01   3.8418e+19   5.1527e-01   4.4500e-01
  5.0277e-01   6.2000e-01   3.7506e+19   5.0332e-01   4.3790e-01
  5.3004e-01   6.4000e-01   3.6569e+19   4.9291e-01   4.3170e-01
  5.5755e-01   6.6000e-01   3.5621e+19   4.8340e-01   4.2604e-01
  5.8527e-01   6.8000e-01   3.4674e+19   4.7444e-01   4.2067e-01
  6.1316e-01   7.0000e-01   3.3739e+19   4.6576e-01   4.1547e-01
  6.4116e-01   7.2000e-01   3.2830e+19   4.5722e-01   4.1032e-01
  6.6923e-01   7.4000e-01   3.1958e+19   4.4868e-01   4.0511e-01
  6.9732e-01   7.6000e-01   3.1136e+19   4.3999e-01   3.9975e-01
  7.2535e-01   7.8000e-01   3.0379e+19   4.3100e-01   3.9408e-01
  7.5327e-01   8.0000e-01   2.9700e+19   4.2146e-01   3.8787e-01
  7.8098e-01   8.2000e-01   2.9115e+19   4.1098e-01   3.8076e-01
  8.0838e-01   8.4000e-01   2.8641e+19   3.9893e-01   3.7216e-01
  8.3534e-01   8.6000e-01   2.8295e+19   3.8428e-01   3.6107e-01
  8.6170e-01   8.8000e-01   2.8097e+19   3.6533e-01   3.4590e-01
  8.8731e-01   9.0000e-01   2.7575e+19   3.3929e-01   3.2398e-01
  9.1206e-01   9.2000e-01   2.4284e+19   3.0155e-01   2.9093e-01
  9.3598e-01   9.4000e-01   1.6636e+19   2.4555e-01   2.4042e-01
  9.5910e-01   9.6000e-01   8.5513e+18   1.8334e-01   1.8231e-01
  9.8100e-01   9.8000e-01   4.1333e+18   1.2885e-01   1.2886e-01
  1.0000e+00   1.0000e+00   2.7385e+18   7.8287e-02   7.7418e-02
